SH,0.99,30,"[0.37, 0.22, 0.27, 0.14]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",2
PD,0.99,30,"[0.49, 0.49, 0.01, 0.01]",random,"('AC', 'AD', 'TFT', 'nTFT')",['AD'],2
BS,0.95,30,"[0.25, 0.33, 0.1, 0.32]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.95,30,"[0.25, 0.45, 0.14, 0.16]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",3
PD,0.95,30,"[0.31, 0.03, 0.28, 0.37]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],18
BS,0.99,30,"[0.04, 0.31, 0.34, 0.31]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.99,30,"[0.05, 0.22, 0.35, 0.38]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",3
PD,0.99,30,"[0.34, 0.32, 0.24, 0.1]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],17
BS,0.95,30,"[0.11, 0.12, 0.57, 0.2]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.95,30,"[0.63, 0.09, 0.17, 0.11]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",2
PD,0.95,30,"[0.2, 0.1, 0.38, 0.32]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],12
BS,0.99,30,"[0.34, 0.35, 0.04, 0.27]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.99,30,"[0.02, 0.13, 0.43, 0.42]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",3
PD,0.99,30,"[0.23, 0.34, 0.29, 0.13]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],15
